2025-06-17 22:58:27,872 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 22:47:17 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:58:27,873 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:58:27,873 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 22:58:27,873 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:58:27,873 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 22:58:48,617 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@7a85b8db: startup date [Tue Jun 17 22:58:48 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:58:48,618 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 22:58:48,628 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 23:04:31,537 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 22:58:48 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 23:04:31,538 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 23:04:31,538 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 23:04:31,538 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 23:04:31,538 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 23:04:52,806 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75c0a9cb: startup date [Tue Jun 17 23:04:52 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 23:04:52,808 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 23:04:52,820 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 23:09:08,508 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 23:04:52 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 23:09:08,509 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 23:09:08,509 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 23:09:08,509 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 23:09:08,509 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 23:09:29,698 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@3f3a933a: startup date [Tue Jun 17 23:09:29 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 23:09:29,699 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 23:09:29,709 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 23:13:19,280 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 23:09:29 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 23:13:19,281 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 23:13:19,281 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 23:13:19,281 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 23:13:19,281 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 23:13:40,458 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@61a09b2b: startup date [Tue Jun 17 23:13:40 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 23:13:40,459 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 23:13:40,471 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-25 14:09:30,437 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@70fad5c2: startup date [Wed Jun 25 14:09:30 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-25 14:09:30,438 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-25 14:09:30,451 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-25 14:18:47,870 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@38e0d40f: startup date [Wed Jun 25 14:18:47 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-25 14:18:47,871 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-25 14:18:47,888 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-25 14:29:48,390 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@58902a2c: startup date [Wed Jun 25 14:29:48 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-25 14:29:48,391 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-25 14:29:48,419 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-25 14:33:34,827 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@48c6b4b1: startup date [Wed Jun 25 14:33:34 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-25 14:33:34,828 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-25 14:33:34,840 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
